student_id,topic,question_count,date
S0011,ML Basics,2,2025-11-30 13:55:37.168988
S0011,Deep Learning,2,2025-09-18 13:55:37.168988
S0011,NLP,6,2026-01-04 13:55:37.168988
S0011,Computer Vision,3,2026-01-07 13:55:37.168988
S0011,Optimization,1,2025-08-13 13:55:37.168988
S0012,Linear Algebra,3,2025-09-28 13:55:37.168988
S0012,Probability,2,2025-07-29 13:55:37.168988
S0012,Statistics,0,2025-10-30 13:55:37.168988
S0012,ML Basics,6,2025-07-28 13:55:37.168988
S0012,Deep Learning,4,2025-09-04 13:55:37.168988
S0012,NLP,3,2025-12-07 13:55:37.168988
S0012,Computer Vision,4,2025-11-07 13:55:37.168988
S0012,Optimization,6,2025-11-09 13:55:37.168988
S0013,Linear Algebra,1,2025-12-24 13:55:37.168988
S0013,Probability,4,2025-12-30 13:55:37.168988
S0013,Statistics,3,2025-07-31 13:55:37.168988
S0013,ML Basics,8,2025-11-09 13:55:37.168988
S0013,Deep Learning,6,2025-10-21 13:55:37.168988
S0013,NLP,6,2025-11-28 13:55:37.168988
S0013,Computer Vision,3,2025-10-06 13:55:37.168988
S0013,Optimization,6,2026-01-12 13:55:37.168988
S0014,Linear Algebra,1,2025-08-19 13:55:37.168988
S0014,Probability,5,2026-01-01 13:55:37.168988
S0014,Statistics,5,2025-12-27 13:55:37.168988
S0014,ML Basics,1,2025-07-29 13:55:37.168988
S0014,Deep Learning,5,2025-10-22 13:55:37.168988
S0014,NLP,5,2025-11-13 13:55:37.168988
S0014,Computer Vision,8,2025-10-01 13:55:37.168988
S0014,Optimization,3,2025-09-08 13:55:37.168988
S0015,Linear Algebra,5,2025-08-29 13:55:37.168988
S0015,Probability,4,2025-10-23 13:55:37.168988
S0015,Statistics,4,2025-09-16 13:55:37.168988
S0015,ML Basics,4,2025-08-05 13:55:37.168988
S0015,Deep Learning,4,2025-09-09 13:55:37.168988
S0015,NLP,3,2025-07-21 13:55:37.168988
S0015,Computer Vision,4,2025-08-25 13:55:37.168988
S0015,Optimization,5,2025-09-20 13:55:37.168988
S0016,Linear Algebra,7,2026-01-11 13:55:37.168988
S0016,Probability,2,2025-12-09 13:55:37.168988
S0016,Statistics,6,2025-11-12 13:55:37.168988
S0016,ML Basics,3,2025-09-06 13:55:37.168988
S0016,Deep Learning,4,2025-08-03 13:55:37.168988
S0016,NLP,3,2025-12-08 13:55:37.168988
S0016,Computer Vision,1,2025-12-01 13:55:37.168988
S0016,Optimization,2,2025-10-28 13:55:37.168988
S0017,Linear Algebra,5,2025-09-05 13:55:37.168988
S0017,Probability,4,2025-09-30 13:55:37.168988
S0017,Statistics,5,2025-08-19 13:55:37.168988
S0017,ML Basics,3,2025-12-05 13:55:37.168988
S0017,Deep Learning,1,2025-12-10 13:55:37.168988
S0017,NLP,3,2025-09-30 13:55:37.168988
S0017,Computer Vision,5,2025-10-31 13:55:37.168988
S0017,Optimization,8,2025-09-30 13:55:37.168988
S0018,Linear Algebra,1,2025-12-03 13:55:37.168988
S0018,Probability,3,2025-07-23 13:55:37.168988
S0018,Statistics,3,2025-10-24 13:55:37.168988
S0018,ML Basics,2,2025-09-15 13:55:37.168988
S0018,Deep Learning,2,2025-12-21 13:55:37.168988
S0018,NLP,0,2025-12-12 13:55:37.168988
S0018,Computer Vision,4,2025-11-16 13:55:37.168988
S0018,Optimization,2,2025-11-02 13:55:37.168988
S0019,Linear Algebra,3,2025-12-23 13:55:37.168988
S0019,Probability,5,2025-09-18 13:55:37.168988
S0019,Statistics,4,2025-10-21 13:55:37.168988
S0019,ML Basics,1,2025-07-29 13:55:37.168988
S0019,Deep Learning,2,2025-11-03 13:55:37.168988
S0019,NLP,5,2025-10-15 13:55:37.168988
S0019,Computer Vision,0,2025-12-30 13:55:37.168988
S0019,Optimization,3,2025-11-20 13:55:37.168988
S0020,Linear Algebra,3,2026-01-05 13:55:37.168988
S0020,Probability,2,2025-10-13 13:55:37.168988
S0020,Statistics,7,2026-01-14 13:55:37.168988
S0020,ML Basics,5,2025-08-01 13:55:37.168988
S0020,Deep Learning,5,2025-08-24 13:55:37.168988
S0020,NLP,8,2025-12-27 13:55:37.168988
S0020,Computer Vision,5,2025-08-14 13:55:37.168988
S0020,Optimization,5,2025-09-24 13:55:37.168988
S0021,Linear Algebra,5,2025-08-13 13:55:37.168988
S0021,Probability,6,2025-11-13 13:55:37.168988
S0021,Statistics,1,2025-08-27 13:55:37.168988
S0021,ML Basics,5,2025-11-13 13:55:37.168988
S0021,Deep Learning,4,2025-12-22 13:55:37.168988
S0021,NLP,2,2025-11-10 13:55:37.168988
S0021,Computer Vision,5,2025-11-06 13:55:37.168988
S0021,Optimization,3,2025-11-08 13:55:37.168988
S0022,Linear Algebra,6,2025-08-08 13:55:37.168988
S0022,Probability,7,2025-08-22 13:55:37.168988
S0022,Statistics,4,2025-09-28 13:55:37.168988
S0022,ML Basics,5,2026-01-07 13:55:37.168988
S0022,Deep Learning,1,2025-09-25 13:55:37.168988
S0022,NLP,1,2025-08-24 13:55:37.168988
S0022,Computer Vision,0,2025-12-31 13:55:37.168988
S0022,Optimization,4,2025-08-07 13:55:37.168988
S0023,Linear Algebra,5,2025-07-25 13:55:37.168988
S0023,Probability,2,2025-08-01 13:55:37.168988
S0023,Statistics,5,2026-01-01 13:55:37.168988
S0023,ML Basics,0,2025-08-10 13:55:37.168988
S0023,Deep Learning,4,2026-01-03 13:55:37.168988
S0023,NLP,7,2025-10-24 13:55:37.168988
S0023,Computer Vision,2,2025-10-22 13:55:37.168988
S0023,Optimization,7,2025-09-28 13:55:37.168988
S0024,Linear Algebra,5,2025-12-27 13:55:37.168988
S0024,Probability,3,2025-12-20 13:55:37.168988
S0024,Statistics,5,2025-11-20 13:55:37.168988
S0024,ML Basics,3,2025-11-29 13:55:37.168988
S0024,Deep Learning,1,2025-12-03 13:55:37.168988
S0024,NLP,7,2025-11-14 13:55:37.168988
S0024,Computer Vision,6,2025-09-05 13:55:37.168988
S0024,Optimization,1,2025-10-25 13:55:37.168988
S0025,Linear Algebra,2,2025-08-08 13:55:37.168988
S0025,Probability,6,2025-08-11 13:55:37.168988
S0025,Statistics,3,2025-12-18 13:55:37.168988
S0025,ML Basics,3,2025-08-07 13:55:37.168988
S0025,Deep Learning,2,2025-08-27 13:55:37.168988
S0025,NLP,6,2025-08-22 13:55:37.168988
S0025,Computer Vision,2,2025-08-10 13:55:37.168988
S0025,Optimization,4,2025-09-14 13:55:37.168988
S0026,Linear Algebra,7,2025-10-03 13:55:37.168988
S0026,Probability,4,2025-12-20 13:55:37.168988
S0026,Statistics,8,2025-09-29 13:55:37.168988
S0026,ML Basics,8,2025-08-12 13:55:37.168988
S0026,Deep Learning,1,2025-12-02 13:55:37.168988
S0026,NLP,5,2025-09-21 13:55:37.168988
S0026,Computer Vision,1,2025-11-12 13:55:37.168988
S0026,Optimization,4,2025-10-25 13:55:37.168988
S0027,Linear Algebra,8,2025-11-30 13:55:37.168988
S0027,Probability,12,2025-09-03 13:55:37.168988
S0027,Statistics,2,2025-09-01 13:55:37.168988
S0027,ML Basics,4,2025-09-06 13:55:37.168988
S0027,Deep Learning,3,2025-10-22 13:55:37.168988
S0027,NLP,3,2025-10-11 13:55:37.168988
S0027,Computer Vision,3,2025-07-25 13:55:37.168988
S0027,Optimization,2,2025-09-02 13:55:37.168988
S0028,Linear Algebra,2,2025-11-05 13:55:37.168988
S0028,Probability,3,2025-11-16 13:55:37.168988
S0028,Statistics,2,2025-09-24 13:55:37.168988
S0028,ML Basics,6,2025-12-31 13:55:37.168988
S0028,Deep Learning,4,2025-10-20 13:55:37.168988
S0028,NLP,6,2025-08-26 13:55:37.168988
S0028,Computer Vision,7,2026-01-01 13:55:37.168988
S0028,Optimization,5,2026-01-05 13:55:37.168988
S0029,Linear Algebra,1,2025-10-16 13:55:37.168988
S0029,Probability,3,2025-08-01 13:55:37.168988
S0029,Statistics,4,2025-09-24 13:55:37.168988
S0029,ML Basics,4,2025-09-01 13:55:37.168988
S0029,Deep Learning,4,2025-12-06 13:55:37.168988
S0029,NLP,5,2025-11-02 13:55:37.168988
S0029,Computer Vision,3,2025-11-16 13:55:37.168988
S0029,Optimization,7,2025-08-04 13:55:37.168988
S0030,Linear Algebra,3,2025-12-01 13:55:37.168988
S0030,Probability,3,2025-09-09 13:55:37.168988
S0030,Statistics,3,2025-09-18 13:55:37.168988
S0030,ML Basics,3,2025-10-16 13:55:37.168988
S0030,Deep Learning,3,2025-09-07 13:55:37.168988
S0030,NLP,4,2025-10-29 13:55:37.168988
S0030,Computer Vision,3,2025-08-20 13:55:37.168988
S0030,Optimization,5,2025-11-03 13:55:37.168988
S0031,Linear Algebra,3,2026-01-02 13:55:37.168988
S0031,Probability,4,2025-12-31 13:55:37.168988
S0031,Statistics,4,2025-12-31 13:55:37.168988
S0031,ML Basics,2,2025-12-30 13:55:37.168988
S0031,Deep Learning,3,2025-11-26 13:55:37.168988
S0031,NLP,2,2025-11-10 13:55:37.168988
S0031,Computer Vision,2,2025-09-19 13:55:37.168988
S0031,Optimization,3,2025-10-14 13:55:37.168988
S0032,Linear Algebra,5,2025-12-18 13:55:37.168988
S0032,Probability,4,2025-09-19 13:55:37.168988
S0032,Statistics,2,2025-12-20 13:55:37.168988
S0032,ML Basics,3,2025-12-25 13:55:37.168988
S0032,Deep Learning,2,2025-10-09 13:55:37.168988
S0032,NLP,3,2025-08-20 13:55:37.168988
S0032,Computer Vision,4,2025-12-21 13:55:37.168988
S0032,Optimization,2,2025-09-09 13:55:37.168988
S0033,Linear Algebra,8,2025-09-26 13:55:37.168988
S0033,Probability,6,2025-11-10 13:55:37.168988
S0033,Statistics,5,2026-01-04 13:55:37.168988
S0033,ML Basics,3,2025-08-24 13:55:37.168988
S0033,Deep Learning,4,2025-10-29 13:55:37.168988
S0033,NLP,3,2025-09-24 13:55:37.168988
S0033,Computer Vision,6,2025-09-15 13:55:37.168988
S0033,Optimization,2,2025-08-11 13:55:37.168988
S0034,Linear Algebra,3,2025-11-19 13:55:37.168988
S0034,Probability,5,2025-12-06 13:55:37.168988
S0034,Statistics,2,2025-08-01 13:55:37.168988
S0034,ML Basics,5,2025-08-09 13:55:37.168988
S0034,Deep Learning,6,2025-12-04 13:55:37.168988
S0034,NLP,6,2025-09-17 13:55:37.168988
S0034,Computer Vision,5,2025-07-27 13:55:37.168988
S0034,Optimization,3,2025-09-08 13:55:37.168988
S0035,Linear Algebra,2,2025-09-11 13:55:37.168988
S0035,Probability,3,2025-11-02 13:55:37.168988
S0035,Statistics,3,2025-12-06 13:55:37.168988
S0035,ML Basics,6,2025-11-02 13:55:37.168988
S0035,Deep Learning,4,2025-12-14 13:55:37.168988
S0035,NLP,8,2025-10-05 13:55:37.168988
S0035,Computer Vision,3,2025-10-07 13:55:37.168988
S0035,Optimization,1,2025-11-30 13:55:37.168988
S0036,Linear Algebra,4,2025-12-07 13:55:37.168988
S0036,Probability,7,2025-12-03 13:55:37.168988
S0036,Statistics,2,2025-10-15 13:55:37.168988
S0036,ML Basics,2,2025-08-04 13:55:37.168988
S0036,Deep Learning,4,2025-09-16 13:55:37.168988
S0036,NLP,3,2025-09-18 13:55:37.168988
S0036,Computer Vision,7,2025-10-06 13:55:37.168988
S0036,Optimization,0,2025-12-19 13:55:37.168988
S0037,Linear Algebra,5,2025-10-28 13:55:37.168988
S0037,Probability,1,2025-11-26 13:55:37.168988
S0037,Statistics,6,2025-12-09 13:55:37.168988
S0037,ML Basics,5,2025-11-21 13:55:37.168988
S0037,Deep Learning,0,2025-11-25 13:55:37.168988
S0037,NLP,3,2025-12-14 13:55:37.168988
S0037,Computer Vision,4,2025-08-20 13:55:37.168988
S0037,Optimization,7,2026-01-02 13:55:37.168988
S0038,Linear Algebra,8,2025-12-24 13:55:37.168988
S0038,Probability,7,2025-11-30 13:55:37.168988
S0038,Statistics,5,2026-01-06 13:55:37.168988
S0038,ML Basics,8,2025-11-22 13:55:37.168988
S0038,Deep Learning,6,2025-11-23 13:55:37.168988
S0038,NLP,2,2025-08-07 13:55:37.168988
S0038,Computer Vision,4,2025-11-12 13:55:37.168988
S0038,Optimization,3,2025-08-11 13:55:37.168988
S0039,Linear Algebra,3,2025-12-31 13:55:37.168988
S0039,Probability,2,2025-10-04 13:55:37.168988
S0039,Statistics,3,2025-08-17 13:55:37.168988
S0039,ML Basics,4,2025-08-22 13:55:37.168988
S0039,Deep Learning,3,2025-08-26 13:55:37.168988
S0039,NLP,1,2026-01-06 13:55:37.168988
S0039,Computer Vision,1,2025-08-24 13:55:37.168988
S0039,Optimization,5,2025-07-30 13:55:37.168988
S0040,Linear Algebra,7,2025-08-27 13:55:37.168988
S0040,Probability,5,2025-10-15 13:55:37.168988
S0040,Statistics,4,2025-09-11 13:55:37.168988
S0040,ML Basics,1,2025-09-11 13:55:37.168988
S0040,Deep Learning,5,2025-11-12 13:55:37.168988
S0040,NLP,0,2025-11-23 13:55:37.168988
S0040,Computer Vision,1,2025-08-23 13:55:37.168988
S0040,Optimization,6,2025-09-29 13:55:37.168988
S0041,Linear Algebra,5,2026-01-10 13:55:37.168988
S0041,Probability,5,2025-12-14 13:55:37.168988
S0041,Statistics,5,2025-08-29 13:55:37.168988
S0041,ML Basics,3,2025-10-18 13:55:37.168988
S0041,Deep Learning,5,2025-10-26 13:55:37.168988
S0041,NLP,6,2025-09-02 13:55:37.168988
S0041,Computer Vision,2,2025-12-20 13:55:37.168988
S0041,Optimization,3,2025-07-29 13:55:37.168988
S0042,Linear Algebra,7,2025-08-13 13:55:37.168988
S0042,Probability,4,2025-12-20 13:55:37.168988
S0042,Statistics,5,2025-11-26 13:55:37.168988
S0042,ML Basics,3,2025-09-04 13:55:37.168988
S0042,Deep Learning,1,2025-12-01 13:55:37.168988
S0042,NLP,6,2026-01-01 13:55:37.168988
S0042,Computer Vision,8,2025-11-07 13:55:37.168988
S0042,Optimization,4,2025-08-13 13:55:37.168988
S0043,Linear Algebra,3,2025-11-02 13:55:37.168988
S0043,Probability,4,2025-11-21 13:55:37.168988
S0043,Statistics,4,2025-09-08 13:55:37.168988
S0043,ML Basics,1,2025-10-12 13:55:37.168988
S0043,Deep Learning,4,2025-11-26 13:55:37.168988
S0043,NLP,3,2025-12-03 13:55:37.168988
S0043,Computer Vision,5,2025-08-13 13:55:37.168988
S0043,Optimization,7,2025-11-19 13:55:37.168988
S0044,Linear Algebra,5,2025-12-24 13:55:37.168988
S0044,Probability,4,2025-12-27 13:55:37.168988
S0044,Statistics,3,2025-09-28 13:55:37.168988
S0044,ML Basics,7,2025-09-30 13:55:37.168988
S0044,Deep Learning,4,2025-11-10 13:55:37.168988
S0044,NLP,7,2025-08-30 13:55:37.168988
S0044,Computer Vision,6,2025-07-28 13:55:37.168988
S0044,Optimization,3,2025-10-20 13:55:37.168988
S0045,Linear Algebra,3,2025-11-28 13:55:37.168988
S0045,Probability,4,2025-11-03 13:55:37.168988
S0045,Statistics,8,2025-10-31 13:55:37.168988
S0045,ML Basics,6,2025-08-07 13:55:37.168988
S0045,Deep Learning,2,2025-11-13 13:55:37.168988
S0045,NLP,3,2025-09-28 13:55:37.168988
S0045,Computer Vision,4,2025-09-05 13:55:37.168988
S0045,Optimization,5,2025-11-24 13:55:37.168988
S0046,Linear Algebra,2,2025-12-14 13:55:37.168988
S0046,Probability,2,2025-12-29 13:55:37.168988
S0046,Statistics,3,2025-11-26 13:55:37.168988
S0046,ML Basics,6,2025-11-24 13:55:37.168988
S0046,Deep Learning,4,2026-01-09 13:55:37.168988
S0046,NLP,3,2026-01-09 13:55:37.168988
S0046,Computer Vision,5,2025-12-15 13:55:37.168988
S0046,Optimization,2,2025-12-07 13:55:37.168988
S0047,Linear Algebra,3,2025-11-18 13:55:37.168988
S0047,Probability,5,2025-09-01 13:55:37.168988
S0047,Statistics,5,2025-12-29 13:55:37.168988
S0047,ML Basics,5,2025-12-25 13:55:37.168988
S0047,Deep Learning,4,2025-11-22 13:55:37.168988
S0047,NLP,4,2025-09-10 13:55:37.168988
S0047,Computer Vision,4,2025-12-28 13:55:37.168988
S0047,Optimization,6,2025-09-10 13:55:37.168988
S0048,Linear Algebra,1,2025-10-28 13:55:37.168988
S0048,Probability,2,2025-12-26 13:55:37.168988
S0048,Statistics,8,2025-11-04 13:55:37.168988
S0048,ML Basics,6,2025-12-18 13:55:37.168988
S0048,Deep Learning,3,2025-09-21 13:55:37.168988
S0048,NLP,6,2025-09-18 13:55:37.168988
S0048,Computer Vision,3,2025-11-15 13:55:37.168988
S0048,Optimization,4,2025-08-31 13:55:37.168988
S0049,Linear Algebra,2,2025-09-15 13:55:37.168988
S0049,Probability,1,2025-10-04 13:55:37.168988
S0049,Statistics,3,2025-10-25 13:55:37.168988
S0049,ML Basics,8,2025-08-09 13:55:37.168988
S0049,Deep Learning,2,2025-11-01 13:55:37.168988
S0049,NLP,2,2025-12-20 13:55:37.168988
S0049,Computer Vision,8,2025-10-07 13:55:37.168988
S0049,Optimization,4,2025-12-12 13:55:37.168988
S0050,Linear Algebra,4,2025-08-05 13:55:37.168988
S0050,Probability,2,2025-11-06 13:55:37.168988
S0050,Statistics,5,2025-10-15 13:55:37.168988
S0050,ML Basics,3,2025-10-16 13:55:37.168988
S0050,Deep Learning,2,2026-01-09 13:55:37.168988
S0050,NLP,1,2025-11-20 13:55:37.168988
S0050,Computer Vision,6,2025-07-27 13:55:37.168988
S0050,Optimization,7,2025-07-23 13:55:37.168988
S0051,Linear Algebra,3,2025-10-26 13:55:37.168988
S0051,Probability,6,2026-01-03 13:55:37.168988
S0051,Statistics,8,2025-09-05 13:55:37.168988
S0051,ML Basics,6,2025-12-31 13:55:37.168988
S0051,Deep Learning,2,2025-10-26 13:55:37.168988
S0051,NLP,4,2025-09-07 13:55:37.168988
S0051,Computer Vision,2,2025-12-21 13:55:37.168988
S0051,Optimization,5,2025-11-05 13:55:37.168988
S0052,Linear Algebra,2,2025-10-28 13:55:37.168988
S0052,Probability,3,2025-08-18 13:55:37.168988
S0052,Statistics,6,2025-10-04 13:55:37.168988
S0052,ML Basics,7,2025-08-27 13:55:37.168988
S0052,Deep Learning,8,2025-10-25 13:55:37.168988
S0052,NLP,2,2025-11-27 13:55:37.168988
S0052,Computer Vision,5,2025-12-13 13:55:37.168988
S0052,Optimization,5,2025-08-17 13:55:37.168988
S0053,Linear Algebra,6,2025-07-24 13:55:37.168988
S0053,Probability,7,2025-10-19 13:55:37.168988
S0053,Statistics,5,2025-09-21 13:55:37.168988
S0053,ML Basics,1,2025-09-07 13:55:37.168988
S0053,Deep Learning,7,2026-01-11 13:55:37.168988
S0053,NLP,5,2025-10-20 13:55:37.168988
S0053,Computer Vision,4,2025-11-10 13:55:37.168988
S0053,Optimization,6,2025-11-01 13:55:37.168988
S0054,Linear Algebra,8,2025-11-14 13:55:37.168988
S0054,Probability,2,2025-08-16 13:55:37.168988
S0054,Statistics,3,2025-09-14 13:55:37.168988
S0054,ML Basics,11,2025-10-06 13:55:37.168988
S0054,Deep Learning,6,2025-11-18 13:55:37.168988
S0054,NLP,0,2025-12-26 13:55:37.168988
S0054,Computer Vision,9,2026-01-10 13:55:37.168988
S0054,Optimization,1,2026-01-16 13:55:37.168988
S0055,Linear Algebra,4,2026-01-12 13:55:37.168988
S0055,Probability,7,2025-12-04 13:55:37.168988
S0055,Statistics,2,2025-10-31 13:55:37.168988
S0055,ML Basics,6,2025-11-26 13:55:37.168988
S0055,Deep Learning,2,2025-11-05 13:55:37.168988
S0055,NLP,2,2025-08-06 13:55:37.168988
S0055,Computer Vision,4,2025-10-10 13:55:37.168988
S0055,Optimization,2,2025-07-25 13:55:37.168988
S0056,Linear Algebra,3,2025-10-12 13:55:37.168988
S0056,Probability,6,2025-09-17 13:55:37.168988
S0056,Statistics,2,2025-10-17 13:55:37.168988
S0056,ML Basics,3,2026-01-08 13:55:37.168988
S0056,Deep Learning,3,2025-08-23 13:55:37.168988
S0056,NLP,2,2025-11-21 13:55:37.168988
S0056,Computer Vision,7,2025-08-29 13:55:37.168988
S0056,Optimization,3,2025-07-22 13:55:37.168988
S0057,Linear Algebra,10,2025-11-03 13:55:37.168988
S0057,Probability,4,2025-11-16 13:55:37.168988
S0057,Statistics,5,2025-12-24 13:55:37.168988
S0057,ML Basics,4,2025-11-24 13:55:37.168988
S0057,Deep Learning,5,2025-07-26 13:55:37.168988
S0057,NLP,2,2025-08-28 13:55:37.168988
S0057,Computer Vision,3,2025-08-15 13:55:37.168988
S0057,Optimization,3,2025-10-07 13:55:37.168988
S0058,Linear Algebra,7,2025-07-26 13:55:37.168988
S0058,Probability,1,2025-10-22 13:55:37.168988
S0058,Statistics,4,2025-11-18 13:55:37.168988
S0058,ML Basics,4,2025-11-07 13:55:37.168988
S0058,Deep Learning,8,2025-07-23 13:55:37.168988
S0058,NLP,7,2025-11-23 13:55:37.168988
S0058,Computer Vision,1,2025-09-03 13:55:37.168988
S0058,Optimization,6,2025-08-30 13:55:37.168988
S0059,Linear Algebra,3,2025-11-14 13:55:37.168988
S0059,Probability,0,2025-09-16 13:55:37.168988
S0059,Statistics,3,2025-10-20 13:55:37.168988
S0059,ML Basics,3,2025-08-16 13:55:37.168988
S0059,Deep Learning,5,2025-10-29 13:55:37.168988
S0059,NLP,3,2025-08-07 13:55:37.168988
S0059,Computer Vision,2,2025-10-30 13:55:37.168988
S0059,Optimization,2,2026-01-06 13:55:37.168988
S0060,Linear Algebra,4,2025-10-23 13:55:37.168988
S0060,Probability,3,2025-09-27 13:55:37.168988
S0060,Statistics,3,2025-08-26 13:55:37.168988
S0060,ML Basics,8,2025-10-04 13:55:37.168988
S0060,Deep Learning,3,2025-12-10 13:55:37.168988
S0060,NLP,7,2025-08-05 13:55:37.168988
S0060,Computer Vision,6,2025-09-01 13:55:37.168988
S0060,Optimization,3,2025-12-12 13:55:37.168988
S0061,Linear Algebra,3,2025-12-05 13:55:37.168988
S0061,Probability,4,2025-08-12 13:55:37.168988
S0061,Statistics,6,2025-09-08 13:55:37.168988
S0061,ML Basics,5,2026-01-16 13:55:37.168988
S0061,Deep Learning,8,2025-08-25 13:55:37.168988
S0061,NLP,3,2025-07-25 13:55:37.168988
S0061,Computer Vision,4,2025-09-03 13:55:37.168988
S0061,Optimization,2,2025-10-05 13:55:37.168988
S0062,Linear Algebra,3,2025-12-15 13:55:37.168988
S0062,Probability,4,2026-01-03 13:55:37.168988
S0062,Statistics,6,2026-01-16 13:55:37.168988
S0062,ML Basics,4,2025-09-09 13:55:37.168988
S0062,Deep Learning,4,2025-10-01 13:55:37.168988
S0062,NLP,1,2025-12-10 13:55:37.168988
S0062,Computer Vision,3,2025-11-24 13:55:37.168988
S0062,Optimization,3,2025-08-04 13:55:37.168988
S0063,Linear Algebra,2,2025-10-19 13:55:37.168988
S0063,Probability,6,2025-10-11 13:55:37.168988
S0063,Statistics,4,2025-07-29 13:55:37.168988
S0063,ML Basics,3,2025-08-09 13:55:37.168988
S0063,Deep Learning,6,2025-12-28 13:55:37.168988
S0063,NLP,4,2025-08-15 13:55:37.168988
S0063,Computer Vision,4,2025-11-02 13:55:37.168988
